问题id,问题,答案,分类
50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,该问题的描述中没有给出任何关于答案来源的线索，因此无法确定答案是在该公司的招股说明书中还是在基金股票数据库里。,Text
51,2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是多少？,该问题的描述中没有给出任何关于该基金或股票的信息，因此无法确定它是在该公司的招股说明书中还是在基金股票数据库里。,Text
52,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"这个问题的答案应该在""基金股票数据库""中查找。",SQL
53,帮我查一下在2019年，代码为603199的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
54,帮我查一下鹏扬景科混合A基金在20201126的资产净值和单位净值是多少?,回答：“基金股票数据库”,SQL
55,请问股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,回答：“基金股票数据库”,SQL
56,我想知道股票000637在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
57,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,"问题：“请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。”
回答：“基金股票数据库”",SQL
58,帮我查一下在2020年，代码为002868的A股股票今开盘高于昨收盘的天数？,回答：“基金股票数据库”,SQL
59,森赫电梯股份有限公司的主营业务是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,该问题的描述不清，无法确定应该在基金的招股说明书中还是在股票数据库中查找答案。请提供更多的上下文信息以便更准确地回答您的问题。,Text
61,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,回答：“基金股票数据库”,SQL
62,易方达基金管理有限公司2019年成立了多少基金?,问题：“易方达基金管理有限公司2019年成立了多少基金?”的答案应该在基金股票数据库中可以找到。,SQL
63,嘉实基金管理有限公司管理的债券型产品的数量有多少?,问题：“基金股票数据库”,SQL
64,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
65,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,回答：“基金股票数据库”,SQL
66,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,回答：“基金股票数据库”,SQL
67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
68,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,回答：“基金股票数据库”,SQL
69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,"该问题的 answer 应该是 ""该公司的招股说明书""。",Text
70,博时基金管理有限公司管理的股票型产品的数量有多少?,问题：“博时基金管理有限公司管理的股票型产品的数量有多少?” 应该在基金股票数据库中查找答案。,SQL
71,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,这个问题应该属于基金股票数据库。,SQL
72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,该问题的答案可能包含在基金的股票数据库中。,Text
73,新疆浩源天然气股份有限公司2012年1-6月的营业毛利为多少，综合毛利率为多少？,"该问题的 answer 应该是 ""该公司的招股说明书""。根据提供的信息，新疆浩源天然气股份有限公司的相关财务数据应该可以在该公司的招股说明书中找到。",Text
74,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？,回答：“基金股票数据库”,SQL
75,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）*100%。,"问题：“请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）*100%。？”
回答：“基金股票数据库”",SQL
